iter	RMSE
625	0.2729420013
626	0.2728864647
627	0.2728402654
628	0.2728127706
629	0.2727732663
630	0.272714444
631	0.272686262
632	0.272571918
633	0.2724919935
634	0.2724721923
635	0.2724355221
636	0.2723610021
637	0.2723380439
638	0.2723160177
639	0.272162751
640	0.2721217094
641	0.272062994
642	0.2720063793
643	0.2719487243
644	0.271901444
645	0.2718718899
646	0.2718437086
647	0.2717914057
648	0.2717826207
649	0.2717481224
650	0.2717089633
651	0.2716673053
652	0.2716169557
653	0.2715910269
654	0.2715100096
655	0.2714309214
656	0.271399071
657	0.2713644072
658	0.2713325352
659	0.2712251947
660	0.2712126377
661	0.2711502371
662	0.2711137223
663	0.2710993833
664	0.2710901714
665	0.2710651023
666	0.2710356579
667	0.2709506079
668	0.2708863644
669	0.2708217979
670	0.270785027
671	0.270764637
672	0.2707344865
673	0.2706997216
674	0.270693773
675	0.2706682244
676	0.2706490678
677	0.2705353304
678	0.270520377
679	0.2705062972
680	0.2705010285
681	0.2704765957
682	0.2704604255
683	0.2704321949
684	0.2703515221
685	0.2703108651
686	0.2702912457
687	0.2702035465
688	0.270176633
689	0.2700939504
690	0.2700260011
691	0.270006134
692	0.2698842539
693	0.269868306
694	0.2698527018
695	0.2698457403
696	0.2697480167
697	0.2696677961
698	0.2695850619
699	0.2695700164
700	0.2695572271
701	0.2695375474
702	0.269501496
703	0.2694538737
704	0.2694460729
705	0.2693761971
706	0.269324755
707	0.269259671
708	0.2692261847
709	0.2691861571
710	0.2691705663
711	0.2690647501
712	0.2690517199
713	0.2690349619
714	0.2690139965
715	0.2689652131
716	0.2688986326
717	0.2688750788
718	0.2688074706
719	0.268796871
720	0.2686877727
721	0.2685756305
722	0.2685587488
723	0.268537993
724	0.268474383
725	0.2684513277
726	0.2684257856
727	0.2682839937
728	0.2682492431
729	0.268196988
730	0.2681824073
731	0.2681760453
732	0.268089582
733	0.2680633927
734	0.2680103366
735	0.2679664825
736	0.2678546659
737	0.2677960634
738	0.2676948614
739	0.2676040145
740	0.2675712136
741	0.2675568803
742	0.2674530932
743	0.2674065848
744	0.2673405174
745	0.2672749598
746	0.2672475021
747	0.2672209507
748	0.2671224863
749	0.2671063522
750	0.2670508355
751	0.2669548351
752	0.2669365626
753	0.2669023538
754	0.2668713282
755	0.266848251
756	0.2668192632
757	0.2667829536
758	0.266759805
759	0.2667311786
760	0.2666688172
761	0.2666117068
762	0.2665808435
763	0.2665143526
764	0.266504029
765	0.2664097139
766	0.2663406383
767	0.266321859
768	0.2662944316
769	0.2662661666
770	0.2662475717
771	0.2661670799
772	0.2661583704
773	0.2661198354
774	0.266104065
775	0.2660120354
776	0.2659683284
777	0.2659278467
778	0.2659113538
779	0.2657869205
780	0.2657536269
781	0.2657289718
782	0.265671096
783	0.2656573723
784	0.2656377053
785	0.2655881257
786	0.2655023601
787	0.2654420105
788	0.2653706637
789	0.2653065605
790	0.2652687906
791	0.2652576105
792	0.265246314
793	0.2652273735
794	0.2651671252
795	0.2651598816
796	0.2651279688
797	0.2650535546
798	0.2650147254
799	0.2649882741
800	0.2649755065
801	0.264953918
802	0.2649216757
803	0.26489213
804	0.2648343541
805	0.2648288493
806	0.2647462235
807	0.2647261573
808	0.2646751808
809	0.264646547
810	0.2646122631
811	0.2646020094
812	0.2645758707
813	0.264550312
814	0.2645326793
815	0.2644858331
816	0.2644769899
817	0.2644176262
818	0.264347552
819	0.2643181974
820	0.2642694668
821	0.2642432938
822	0.2641612226
823	0.2641072714
824	0.2640911302
825	0.2640564806
826	0.2640343882
827	0.2640191294
828	0.2639567847
829	0.2639413863
830	0.2639041533
831	0.2638557404
832	0.2638437701
833	0.2638384225
834	0.2638311537
835	0.2637615663
836	0.2637073097
837	0.2636499398
838	0.263631854
839	0.2635898679
840	0.263569988
841	0.2635606274
842	0.263484616
843	0.2634677904
844	0.2634586003
845	0.2634539391
846	0.2633809231
847	0.2632998592
848	0.2632471562
849	0.2632085905
850	0.2631931009
851	0.2631824499
852	0.2630889821
853	0.2630181953
854	0.2629955622
855	0.2629426628
856	0.2629032021
857	0.2628933286
858	0.2628453949
859	0.2628082403
860	0.2627589905
861	0.2627228198
862	0.2626730456
863	0.2626372108
864	0.2625603687
865	0.2625167471
866	0.2625062133
867	0.2625001881
868	0.2624824984
869	0.2624044681
870	0.262329695
871	0.2623097241
872	0.2622859731
873	0.2622460391
874	0.2622209719
875	0.2622162307
876	0.2621536247
877	0.2620977903
878	0.2620292687
879	0.2619698562
880	0.2619263957
881	0.2618883585
882	0.2617584731
883	0.2617442432
884	0.2617180416
885	0.2616571054
886	0.2616336127
887	0.2615704633
888	0.2615246868
889	0.26149256
890	0.2614716567
891	0.2614381254
892	0.2614187526
893	0.2613538329
894	0.2613368361
895	0.2612955571
896	0.2612525275
897	0.2612382991
898	0.2611782446
899	0.2611210149
900	0.2610470127
901	0.2610388563
902	0.261021829
903	0.2610002578
904	0.2609893607
905	0.2609562118
906	0.2609514279
907	0.2609353877
908	0.2609059227
909	0.2608256557
910	0.2608075762
911	0.2607363192
912	0.2606918369
913	0.2606401015
914	0.2606177972
915	0.2605455629
916	0.2604817291
917	0.2604314252
918	0.2603621023
919	0.2602955259
920	0.2602676854
921	0.260211304
922	0.2602019682
923	0.2601367339
924	0.2601225059
925	0.2601063296
926	0.2600860157
927	0.260028504
928	0.2599947517
929	0.2599555332
930	0.2599340609
931	0.2598854067
932	0.2598411356
933	0.2598254795
934	0.2597710442
935	0.2597106553
936	0.2597048407
937	0.2596378779
938	0.2595758602
939	0.2595233845
940	0.2595143367
941	0.2594656545
942	0.2593961428
943	0.2593424032
944	0.2593240475
945	0.2592784096
946	0.2592572734
947	0.2592433884
948	0.2592363183
949	0.2591747604
950	0.2591604357
951	0.2591332177
952	0.2591242954
953	0.2590551505
954	0.2590050813
955	0.2589973327
956	0.2589435855
957	0.2589293663
958	0.2588694453
959	0.2588590954
960	0.2588518659
961	0.2588112142
962	0.2587905219
963	0.2587744385
964	0.2586965993
965	0.2586911963
966	0.2586588641
967	0.2586048695
968	0.2585922247
969	0.258577102
970	0.2585563495
971	0.2585373984
972	0.2584883922
973	0.2584524502
974	0.2584451388
975	0.2584329775
976	0.2584210029
977	0.25841281
978	0.258398563
979	0.25834038
980	0.2582964652
981	0.2582471056
982	0.2582321137
983	0.2582050922
